Id,SalePrice
1461,122823.38526829217
1462,164501.21567999167
1463,184267.8562387996
1464,192753.88085451847
1465,194703.37920697802
1466,172028.96581239856
1467,173641.98129297604
1468,163812.63198995052
1469,184048.39597486623
1470,126143.01424655817
1471,198856.9732189923
1472,94789.5258181746
1473,100457.62492797188
1474,154032.3140266317
1475,120405.89414414915
1476,379714.77810192684
1477,250255.02818061318
1478,278681.79664619407
1479,279499.6487816295
1480,460036.66462950024
1481,345990.3325130583
1482,205083.82623928168
1483,174212.28916723377
1484,171783.41989558932
1485,184211.62687177496
1486,197354.75115624952
1487,350651.32483156293
1488,235913.68084547724
1489,198353.4994235862
1490,231701.76506063982
1491,192332.7461608664
1492,91088.42577463483
1493,187183.61592064027
1494,299304.6482915825
1495,299385.7452628492
1496,237955.63618074756
1497,183812.2380416728
1498,164324.4252737822
1499,161695.35772007055
1500,155809.07185191085
1501,172336.1153330045
1502,150149.9534817397
1503,303600.23769149574
1504,241360.7637006703
1505,226480.8218974362
1506,182533.13155588115
1507,240962.95335375314
1508,201158.5165678882
1509,156720.3938437658
1510,147426.58112364088
1511,147189.14213398623
1512,177189.28724256117
1513,142065.5981348225
1514,164815.16501420038
1515,188458.85031568073
1516,150136.02091062898
1517,159616.29621336743
1518,136722.25635816576
1519,222294.59610314044
1520,136570.35540507862
1521,135865.26692701387
1522,167055.19401210741
1523,115495.41493642007
1524,125784.46954389443
1525,125857.52363063274
1526,120002.45084713609
1527,105800.85140701129
1528,134013.27316776876
1529,147838.5331343834
1530,176903.09929466824
1531,112005.50713659337
1532,104542.06487574462
1533,151260.46607644812
1534,121385.57699523786
1535,160547.236804936
1536,114429.8686850458
1537,68898.91585245782
1538,159155.59602701702
1539,194572.6750847755
1540,99118.2006745885
1541,139119.91186243287
1542,137866.61601284624
1543,205265.30184226335
1544,81002.17779768149
1545,110570.63698666454
1546,126333.30436074662
1547,135491.8087960834
1548,132247.11071892042
1549,109694.42127840177
1550,135786.59413942785
1551,117994.58730754546
1552,136852.73216853288
1553,154130.74530396357
1554,113036.11949688845
1555,167771.1862098741
1556,83827.76952886762
