Id,SalePrice
1461,127006.91
1462,164485.2
1463,185853.27
1464,195865.25
1465,187126.5
1466,171529.92
1467,172880.86
1468,166040.31
1469,182998.9
1470,126701.31
1471,193337.22
1472,95760.22
1473,98235.06
1474,149971.48
1475,117551.766
1476,375414.16
1477,252371.53
1478,278465.0
1479,278869.75
1480,471922.12
1481,334399.5
1482,206843.83
1483,174583.92
1484,167501.94
1485,180375.97
1486,194753.45
1487,344680.38
1488,233975.53
1489,199781.9
1490,231320.64
1491,192733.22
1492,93312.39
1493,182675.11
1494,289169.8
1495,288276.3
1496,244852.84
1497,182937.48
1498,167066.56
1499,158639.33
1500,157573.89
1501,176538.81
1502,149075.12
1503,298351.34
1504,240163.66
1505,227802.97
1506,187388.83
1507,248252.8
1508,202787.95
1509,161911.61
1510,147053.8
1511,147354.08
1512,174875.05
1513,148517.44
1514,155509.67
1515,187583.19
1516,147165.75
1517,161045.83
1518,133144.05
1519,218104.9
1520,135130.4
1521,137059.33
1522,168721.2
1523,114672.71
1524,124619.98
1525,127213.71
1526,119867.43
1527,105635.125
1528,131990.28
1529,150605.58
1530,172606.4
1531,112773.266
1532,98551.01
1533,150511.38
1534,118868.61
1535,151647.17
1536,110270.9
1537,71890.67
1538,157264.78
1539,192951.52
1540,99017.52
1541,141258.19
1542,137996.19
1543,206502.84
1544,85463.305
1545,112746.914
1546,132393.7
1547,136167.66
1548,133649.1
1549,116721.305
1550,135675.61
1551,110339.17
1552,138932.83
1553,147519.3
1554,119189.97
1555,167646.89
1556,90170.586
1557,111412.96
1558,92760.51
1559,76769.68
1560,135821.89
1561,139608.61
1562,132295.25
1563,121857.766
1564,158272.86
1565,147204.2
1566,245302.3
1567,76481.91
1568,238499.3
1569,143601.66
1570,140713.52
1571,117507.6
1572,143919.6
1573,243918.72
1574,115642.78
1575,226160.42
1576,238930.48
1577,189132.7
1578,141486.98
1579,148267.1
1580,190270.83
1581,155766.75
1582,128312.266
1583,313642.88
1584,223841.06
1585,142815.27
1586,70716.99
1587,101794.55
1588,151297.88
1589,101959.52
1590,135111.34
1591,94931.125
1592,112635.36
1593,121720.016
1594,140554.05
